Timestamp,Student ID,First Name,Last Name,FUHSD Email Address,Parent Guardian Name,Parent Guardian Email,Grade Level,Subjects I Need Help With:,Enter Grade For The First Class Selected,Enter Grade For The Second Class Selected:,Enter Grade For The Third Class Selected,Enter Grade For The Fourth Class Selected,Enter Grade For The Fifth Class Selected,"Mark all days and times you are available for tutoring.  You have a higher chance of being matched with a tutor, if you are more available. The SBS coordinator will determine the days and hours of your tutoring sessions once you are matched with a tutor."
4/12/2024 10:00:00,231839,ja,dx,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Statistics, Algebra 1, Japanese",D,B,B,,,"Monday 6th period, 2:15 - 3:00, Monday 7th period, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,422253,fb,oy,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Calculus, Biology",B,C,,,,"Tuesday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00, Wednesday after school B, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,156358,yw,zr,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Japanese, Statistics, Geometry",B,B,A,,,"Wednesday 6th period A, 1:35 - 2:20, Wednesday 6th period B, 2:20 - 3:05, Tuesday after school, 3:50 - 4:30, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,411212,ox,nw,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,Calculus,C,,,,,"Tuesday 7th period B, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20"
4/12/2024 10:00:00,287674,to,sj,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Biology, Physics, Statistics, Japanese",D,C,D,D,,"Monday after school, 3:55 - 4:30, Thursday 7th period A, 2:20 - 3:05, Tuesday after school, 3:50 - 4:30"
4/12/2024 10:00:00,227906,yw,gr,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,Calculus,A,,,,,"Wednesday after school B, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Monday 6th period, 2:15 - 3:00, Monday 7th period, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,198660,bl,sj,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,Japanese,D,,,,,"Monday 7th period, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,185118,qi,vp,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Lit, Pre-Calculus, Econ",A,B,B,,,"Thursday 7th period B, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Thursday 7th period A, 2:20 - 3:05, Monday 6th period, 2:15 - 3:00, Wednesday 6th period B, 2:20 - 3:05, Thursday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Monday 7th period, 3:05 - 3:50, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,170696,ss,bh,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Pre-Calculus, Physics, Spanish",C,C,D,,,"Thursday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,366753,rr,dk,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"CS, Chemistry, Spanish",C,D,C,,,"Tuesday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00, Wednesday 6th period A, 1:35 - 2:20"
4/12/2024 10:00:00,334270,yp,nr,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Chinese, Algebra 1, Pre-Calculus",A,B,B,,,"Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Tuesday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,133781,ke,xg,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Geometry, Statistics, History, Chinese",D,B,B,C,,"Thursday 7th period B, 3:05 - 3:50, Thursday 7th period A, 2:20 - 3:05, Thursday after school, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Monday 6th period, 2:15 - 3:00, Tuesday 7th period A, 2:20 - 3:05, Tuesday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30"
4/12/2024 10:00:00,468789,ik,qs,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Chinese, Calculus, Lit, Econ",A,B,B,C,,"Monday 7th period, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Wednesday after school A, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00, Thursday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,441526,ys,wt,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Physics, Pre-Calculus",C,C,,,,"Tuesday 7th period B, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Wednesday after school A, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20"
4/12/2024 10:00:00,337816,nd,gz,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,Statistics,B,,,,,"Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,265241,lp,ie,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,Algebra 1,C,,,,,"Wednesday 6th period B, 2:20 - 3:05, Thursday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Monday 7th period, 3:05 - 3:50"
4/12/2024 10:00:00,477237,hg,aa,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"French, Econ",B,C,,,,"Wednesday after school A, 3:05 - 3:50"
4/12/2024 10:00:00,343703,jj,jp,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"French, Calculus",C,D,,,,"Wednesday 6th period B, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Tuesday after school, 3:50 - 4:30, Wednesday 6th period A, 1:35 - 2:20, Thursday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Thursday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,168932,dn,hz,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Statistics, Econ, Spanish, Algebra 1",B,D,B,C,,"Monday after school, 3:55 - 4:30, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,424295,kv,nq,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,Econ,C,,,,,"Wednesday 6th period A, 1:35 - 2:20, Wednesday 6th period B, 2:20 - 3:05, Wednesday after school B, 3:50 - 4:30, Monday 7th period, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,550550,jk,vm,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Geometry, Chemistry, Japanese",B,D,C,,,"Tuesday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Wednesday after school B, 3:50 - 4:30, Wednesday 6th period A, 1:35 - 2:20, Thursday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,368365,ti,ta,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Biology, Econ, Chemistry, Spanish",C,D,C,B,,"Thursday 7th period A, 2:20 - 3:05, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,360999,xc,gq,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"CS, Pre-Calculus",B,A,,,,"Thursday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Monday 7th period, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Wednesday after school A, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,138901,pf,vg,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Biology, French",A,B,,,,"Monday after school, 3:55 - 4:30, Thursday 7th period A, 2:20 - 3:05, Tuesday 7th period A, 2:20 - 3:05, Monday 6th period, 2:15 - 3:00, Monday 7th period, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Wednesday after school A, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,560671,rl,gn,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Econ, Spanish, Geometry, CS",D,C,B,B,,"Wednesday 6th period B, 2:20 - 3:05, Tuesday after school, 3:50 - 4:30"
