Timestamp,Student ID,First Name,Last Name,FUHSD Email Address,Parent Guardian Name,Parent Guardian Email,Grade Level,Subjects I Need Help With:,Times
4/12/2024 10:00:00,576560,lr,ak,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Biology, Lit, Spanish","Wednesday after school B, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Thursday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,483235,pk,nf,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,Statistics,"Thursday 7th period B, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,216571,ze,uc,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,Geometry,"Tuesday after school, 3:50 - 4:30, Wednesday after school A, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20, Tuesday 7th period A, 2:20 - 3:05, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,407131,cm,xi,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,Calculus,"Tuesday 7th period A, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Monday 6th period, 2:15 - 3:00, Monday 7th period, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Wednesday after school A, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,129464,jg,ts,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"French, Geometry, CS","Tuesday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Wednesday 6th period B, 2:20 - 3:05, Wednesday after school B, 3:50 - 4:30, Thursday 7th period A, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Wednesday after school A, 3:05 - 3:50"
4/12/2024 10:00:00,439640,xx,ho,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Geometry, Algebra 2, History, Algebra 1","Tuesday after school, 3:50 - 4:30"
4/12/2024 10:00:00,399199,db,oj,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Lit, Pre-Calculus, History, Physics","Monday 7th period, 3:05 - 3:50"
4/12/2024 10:00:00,372616,dc,zt,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Japanese, Chemistry","Tuesday after school, 3:50 - 4:30, Wednesday after school A, 3:05 - 3:50"
4/12/2024 10:00:00,429221,fg,ph,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Chemistry, Econ, Geometry, Chinese","Wednesday after school A, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Thursday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00, Monday 7th period, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Tuesday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,434827,kb,zm,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Calculus, Lit, History, Japanese","Thursday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Wednesday after school A, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Wednesday 6th period A, 1:35 - 2:20, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,471706,lv,mj,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"French, CS, Physics, Pre-Calculus","Thursday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,281886,di,dg,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Physics, CS, Geometry, Statistics","Tuesday after school, 3:50 - 4:30, Thursday 7th period A, 2:20 - 3:05, Wednesday 6th period A, 1:35 - 2:20, Tuesday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,502878,tn,yu,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Chemistry, Lit","Wednesday 6th period A, 1:35 - 2:20, Wednesday after school A, 3:05 - 3:50, Thursday 7th period A, 2:20 - 3:05, Monday 7th period, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05"
